"No.","Time","Protocol","Source","Destination","Length","Info"
"1","0.000000","ARP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","42","Who has 172.16.253.254? Tell 172.16.253.129"
"2","0.000193","ARP","00:50:56:e7:50:95","00:0c:29:7b:a8:da","60","172.16.253.254 is at 00:50:56:e7:50:95"
"3","0.000204","DHCP","00:0c:29:7b:a8:da","00:50:56:e7:50:95","343","DHCP Request  - Transaction ID 0xa379aeca"
"4","0.001525","DHCP","00:50:56:e7:50:95","00:0c:29:7b:a8:da","342","DHCP ACK      - Transaction ID 0xa379aeca"
"5","16.384615","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Leave group 239.255.255.250"
"6","16.571901","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Join group 239.255.255.250 for any sources"
"7","17.406632","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Leave group 239.255.255.250"
"8","17.423735","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Join group 239.255.255.250 for any sources"
"9","17.977730","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Join group 239.255.255.250 for any sources"
"10","20.841272","DHCP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","342","DHCP Discover - Transaction ID 0x171ae510"
"11","20.842268","ICMP","00:50:56:e0:a7:8a","ff:ff:ff:ff:ff:ff","62","Echo (ping) request  id=0xf9f8, seq=0/0, ttl=16 (no response found!)"
"12","20.842275","ICMP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","62","Echo (ping) request  id=0xf9f8, seq=0/0, ttl=128 (no response found!)"
"13","21.704449","DHCP","00:50:56:e0:a7:8a","00:0c:29:7b:a8:da","342","DHCP Offer    - Transaction ID 0x171ae510"
"14","21.705020","DHCP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","355","DHCP Request  - Transaction ID 0x171ae510"
"15","21.708975","DHCP","00:50:56:e0:a7:8a","00:0c:29:7b:a8:da","342","DHCP ACK      - Transaction ID 0x171ae510"
"16","21.722586","ARP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","42","Gratuitous ARP for 172.16.253.129 (Request)"
"17","21.977150","ARP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","42","Gratuitous ARP for 172.16.253.129 (Request)"
"18","22.978029","ARP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","42","Gratuitous ARP for 172.16.253.129 (Request)"
"19","24.047693","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Join group 239.255.255.250 for any sources"
"20","24.977440","IGMPv3","00:0c:29:7b:a8:da","01:00:5e:00:00:16","54","Membership Report / Join group 239.255.255.250 for any sources"
"21","136.082120","ARP","00:0c:29:7b:a8:da","ff:ff:ff:ff:ff:ff","42","Who has 172.16.253.2? Tell 172.16.253.129"
"22","136.082334","ARP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","172.16.253.2 is at 00:50:56:f2:7a:09"
"23","136.082346","DNS","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","83","Standard query 0x6cb1 A sa.foundcloudsearch.com"
"24","136.082407","DNS","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","83","Standard query 0x6cb1 A sa.foundcloudsearch.com"
"25","136.196455","DNS","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","99","Standard query response 0x6cb1 A sa.foundcloudsearch.com A 192.200.99.194"
"26","136.198239","DNS","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","99","Standard query response 0x6cb1 A sa.foundcloudsearch.com A 192.200.99.194"
"27","136.198999","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","62","1044  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"28","136.671748","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1044 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"29","136.671825","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","54","1044  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"30","136.672022","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","67","1044  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=13"
"31","136.672135","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1044 [ACK] Seq=1 Ack=14 Win=64240 Len=0"
"32","138.847492","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","1109","80  >  1044 [PSH, ACK] Seq=1 Ack=14 Win=64240 Len=1055"
"33","138.849389","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","85","1044  >  80 [PSH, ACK] Seq=14 Ack=1056 Win=63185 Len=31"
"34","138.849578","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1044 [ACK] Seq=1056 Ack=45 Win=64240 Len=0"
"35","141.317058","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1070 [RST, ACK] Seq=1 Ack=1 Win=64240 Len=0"
"36","143.141312","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","1109","80  >  1044 [PSH, ACK] Seq=1056 Ack=45 Win=64240 Len=1055"
"37","143.142843","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","85","1044  >  80 [PSH, ACK] Seq=45 Ack=2111 Win=64240 Len=31"
"38","143.143056","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1044 [ACK] Seq=2111 Ack=76 Win=64240 Len=0"
"39","143.648710","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","1109","80  >  1044 [PSH, ACK] Seq=2111 Ack=76 Win=64240 Len=1055"
"40","143.650303","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","85","1044  >  80 [PSH, ACK] Seq=76 Ack=3166 Win=63185 Len=31"
"41","143.650441","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","60","80  >  1044 [ACK] Seq=3166 Ack=107 Win=64240 Len=0"
"42","144.068248","TCP","00:50:56:f2:7a:09","00:0c:29:7b:a8:da","1109","80  >  1044 [PSH, ACK] Seq=3166 Ack=107 Win=64240 Len=1055"
"43","144.069675","TCP","00:0c:29:7b:a8:da","00:50:56:f2:7a:09","85","1044  >  80 [PSH, ACK] Seq=107 Ack=4221 Win=64240 Len=31"
